Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.632000,-95.186500,90.000000,top
"C12","3.3uF","CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder",117.246400,-93.268800,270.000000,top
"D1","LED_HEARTBEAT_R1","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",111.201200,-57.810400,270.000000,top
"D2","LED_TRANSMIT_G1","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.252000,-73.050400,0.000000,top
"IMU","IMU_QWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",148.945600,-59.283600,90.000000,top
"J8","GPS_COAX","U.FL_Molex_MCRF_73412-0110_Vertical",133.424199,-57.696100,180.000000,top
"MICRO","STM32L476VGTx","LQFP-100_14x14mm_P0.5mm",121.259600,-76.454000,90.000000,top
"OLED Qwiic","OLED Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",101.549200,-76.123800,270.000000,top
"R1","62","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.217200,-53.721000,0.000000,top
"R2","62","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.055600,-73.050400,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.632000,-90.462100,270.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.747500,-99.584000,270.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.362700,-96.840800,270.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.895900,-79.336900,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.074900,-59.778900,270.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.644400,-93.408500,180.000000,top
"R9","62","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.928100,-99.555300,270.000000,top
"R10","62","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.279200,-92.646500,270.000000,top
"R11","62","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.619500,-96.802700,270.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.580900,-95.961200,180.000000,top
"RADIO","RFM95W-868S2","HOPERF_RFM9XW_SMD",142.341600,-83.058000,0.000000,top
"RADIO PUSH","SW_Push_RADIO","SW_SPST_PTS645",146.541600,-102.158800,0.000000,top
"RADIO_COAX","LoRa_Conn_Coaxial","U.FL_Molex_MCRF_73412-0110_Vertical",149.091600,-94.488000,180.000000,top
"S1","ON/OFF-SWITCH","SW_SP3T_PCM13",114.642900,-103.593900,0.000000,top
"SESS","SW_Push_SESS","SW_SPDT_CK-JS102011SAQN",103.606600,-103.441500,0.000000,top
"V_REG","LT1129-3.3_SO8","SOIC-8_3.9x4.9mm_P1.27mm",110.693200,-94.132400,270.000000,top
